FIRE_YEAR,LATITUDE,LONGITUDE,FIRE_SIZE
2000,45.31722222,-106.20333333,61649.0
2000,45.83,-114.02333333,48300.0
2000,45.85833333,-114.02333333,6450.0
2000,46.26916667,-114.23333333,11486.0
2000,45.82166667,-114.77166667,5104.0
2000,45.725,-114.84833333,19456.0
2000,45.58,-114.86333333,16770.0
2000,46.07333333,-113.89333333,21998.0
2000,45.96416667,-114.01722222,145040.0
2000,46.24222222,-113.80555556,6333.0
2000,45.66333333,-114.42333333,5900.0
2000,45.645,-114.155,21487.0
2000,45.635,-114.42,13200.0
2000,45.51833333,-114.26,6249.0
2000,46.02444444,-114.09166667,7000.0
2000,42.22444444,-110.63472222,14750.0
2000,43.96888889,-110.26944444,6600.0
2000,43.04944444,-110.68527778,9800.0
2000,44.61666667,-113.79333333,5756.0
2000,44.37166667,-114.73,6710.0
2000,44.76027778,-115.33416667,63760.0
2000,45.34361111,-114.77888889,26040.0
2000,45.48,-114.62166667,7000.0
2000,45.465,-114.745,5500.0
2000,44.925,-114.67666667,24639.0
2000,45.01666667,-114.75055556,5700.0
2000,45.22166667,-114.495,172135.0
2000,30.10166667,-84.74,6679.0
2000,48.66722222,-115.13388889,5895.0
2000,48.76694444,-115.33444444,6660.0
2000,48.81416667,-115.16888889,11115.0
2000,48.82444444,-115.59583333,9423.0
2000,44.53333333,-84.01666667,5200.0
2000,45.9125,-116.86666667,56319.0
2000,45.75305556,-116.64861111,32967.0
2000,46.67,-111.69444444,30000.0
2000,39.41166667,-105.39472222,10800.0
2000,35.86777778,-118.28388889,75000.0
2000,47.21916667,-114.81861111,10000.0
2000,47.23333333,-114.625,17817.0
2000,47.26472222,-113.20638889,23802.0
2000,47.03527778,-114.95111111,5730.0
2000,44.92611111,-111.33777778,10800.0
2000,43.73166667,-103.88666667,83508.0
2000,39.91694444,-121.3175,55261.0
2000,39.45388889,-112.21222222,11540.0
2000,33.35027778,-105.63388889,6518.0
2000,32.71666667,-105.71805556,16034.0
2000,35.92833333,-81.90833333,10120.0
2000,42.69333333,-101.11833333,45767.7
2001,48.78777778,-120.06111111,9324.0
2001,41.89333333,-115.58222222,7510.0
2001,39.375,-122.635,24970.0
2001,44.63833333,-115.37166667,23647.0
2001,41.66388889,-117.19805556,41830.0
2001,45.66944444,-116.77055556,16459.0
2001,38.7725,-119.79777778,14500.0
2001,34.29972222,-111.79444444,7400.0
2001,41.15944444,-120.31166667,34319.0
2001,39.05,-120.51861111,16761.0
2001,48.20055556,-120.49805556,55913.0
2001,41.60583333,-123.51166667,8055.0
2001,45.38611111,-110.85777778,26873.0
2001,48.13444444,-113.51777778,8649.0
2001,48.58583333,-114.35027778,71000.0
2001,47.23555556,-113.30194444,9674.0
2001,47.74833333,-112.93583333,7600.0
2001,37.86805556,-118.98333333,5570.0
2001,43.7125,-104.08333333,14990.0
2001,43.625,-103.91166667,11740.0
2001,34.49055556,-118.45638889,6540.0
